;NUMERO DE SERIE;NUMERO DE SERIE;Reemplaza a Serie;Contador Mono Anterior (Qty);Contador Mono Actual (Qty);Contador Color Anterior (Qty);Contador Color Actual (Qty);Uso Mono (Qty);Uso Color (Qty);Minimo Mono (Qty);Minimo Color (Qty);Costo Consumo (USD);Costo Minimo Mono (USD);Costo Minimo Color (USD);Costo Total (USD);Costo Total (CLP);Categoria;Estado Informado a Adessa;Negocio;Observaciones del Tecnico Residente;Prop Adessa;Modelo;
;W795P104504;W795P104504;; 18.915 ; 22.139 ; 13.213 ; 14.861 ; 3.224 ; 1.648 ; 776 ; -   ; $181,29 ; $13,94 ; $- ; $195,23 ; $133.683,71 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W795P104504
;W805P600967;W805P600967;; 292 ; 295 ; 871 ; 909 ; 3 ; 38 ; 3.997 ; 962 ; $2,90 ; $71,83 ; $72,01 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W805P600967
;W794P904172;W794P904172;; 8.975 ; 9.629 ; 2.451 ; 2.751 ; 654 ; 300 ; 3.346 ; 700 ; $34,21 ; $60,13 ; $52,40 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W794P904172
;W794P904167;W794P904167;; 7.005 ; 7.471 ; 5.300 ; 5.549 ; 466 ; 249 ; 3.534 ; 751 ; $27,01 ; $63,51 ; $56,21 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W794P904167
;E174M850656;174M850656;; 5.735 ; 6.135 ; 34.454 ; 37.803 ; 400 ; 3.349 ; 5.600 ; -   ; $257,86 ; $100,63 ; $- ; $358,49 ; $245.474,26 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174M850656
;W794P703563;W794P703563;; 7.450 ; 7.824 ; 4.903 ; 5.199 ; 374 ; 296 ; 3.626 ; 704 ; $28,88 ; $65,16 ; $52,69 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W794P703563
;S9449200492;L9449200492;; 3.291 ; 3.490 ; 23.423 ; 24.608 ; 199 ; 1.185 ; 2.801 ; 315 ; $92,27 ; $50,33 ; $23,58 ; $166,19 ; $113.793,52 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSPC431DN;
;W804P700310;W804P700310;; 2.892 ; 2.994 ; 4.807 ; 5.133 ; 102 ; 326 ; 3.898 ; 674 ; $26,23 ; $70,05 ; $50,45 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W804P700310
;W795P104328;W795P104328;; 19.772 ; 21.750 ; 1.971 ; 2.248 ; 1.978 ; 277 ; 2.022 ; 723 ; $56,28 ; $36,34 ; $54,12 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMPC305;
;W794P904159;W794P904159;; 6.918 ; 7.248 ; 4.731 ; 5.380 ; 330 ; 649 ; 3.670 ; 351 ; $54,51 ; $65,95 ; $26,27 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W794P904159
